date,price,open,high,low,volume,change_percent,ma10,oil_change,actual_adjustment
2024-04-29,88.4,89.22,89.29,88.11,99.95K,-1.23%,88.206,-0.0019235991671947,-70
2024-05-15,82.75,82.76,83.07,81.05,385.98K,0.45%,83.186,-0.000828779052309,-235
2024-05-29,83.6,84.61,85.02,83.29,127.27K,-0.74%,83.014,0.0010249731698199,0
2024-06-13,82.75,82.42,83.05,81.8,334.00K,0.18%,80.42999999999999,0.0011077780958663,-190
2024-06-27,86.39,85.01,86.5,84.88,119.99K,1.34%,85.088,0.0042963032906848,210
2024-07-11,85.4,85.45,85.89,84.64,336.70K,0.38%,86.14500000000001,-0.0011479059412827,110
2024-07-25,82.37,81.58,82.53,80.09,332.16K,0.81%,83.392,-0.0036202879502958,-145
2024-08-08,79.16,78.55,79.37,77.63,320.08K,1.06%,78.686,-0.0040629311326844,-305
2024-08-22,77.22,75.96,77.7,75.77,277.53K,1.54%,79.126,-0.00244578920827,0
2024-09-05,72.69,72.76,74.2,72.37,394.47K,-0.01%,77.405,-0.0058182845693441,-100
2024-09-20,74.49,74.77,75.0,74.0,221.09K,-0.52%,72.469,0.004755566647256,-365
2024-10-10,79.4,76.76,79.72,76.72,400.89K,3.68%,76.09700000000001,0.0103562276776825,140
2024-10-23,74.96,75.73,76.05,74.42,288.44K,-1.42%,75.71700000000001,-0.0021349780571696,90
2024-11-06,74.92,75.3,75.98,73.34,467.56K,-0.81%,73.731,-5.424832169265148e-05,-145
2024-11-20,72.81,73.38,73.94,72.7,260.51K,-0.68%,72.852,-0.0028879186455524,0
2024-12-04,72.31,73.62,74.28,72.25,340.35K,-1.78%,73.203,-0.0006825659017377,0
2024-12-18,73.39,73.26,74.2,72.8,285.30K,0.27%,72.945,0.0014827628815023,0
2025-01-02,75.93,74.93,76.55,74.72,365.43K,1.73%,73.78099999999999,0.0037275361530193,70
2025-01-16,81.29,82.42,82.57,80.39,453.67K,-0.90%,78.69500000000001,0.0068578154787037,340
2025-02-06,74.29,74.71,75.4,74.1,378.11K,-0.43%,76.33900000000001,-0.0042652544804735,0
2025-02-19,75.67,75.44,76.4,75.38,250.06K,0.32%,75.27900000000001,0.0014100807470769,-170
2025-03-05,69.3,71.02,71.18,68.33,473.00K,-2.45%,72.914,-0.0086606572310369,-135
2025-03-19,70.32,70.05,70.77,69.51,253.48K,0.29%,70.111,0.0014569555342884,-280
2025-04-02,74.95,74.52,75.47,73.1,448.93K,0.62%,73.41,0.0063470739029705,230
2025-04-17,67.96,66.25,68.14,65.95,301.81K,3.20%,64.954,-0.0033449947830357,-480
2025-04-30,63.12,64.11,64.33,62.99,24.16K,-1.76%,65.742,-0.0023521556368272,0
2025-05-19,64.8,64.73,65.28,63.84,269.75K,-0.93%,64.244,0.00716446924922,-230
2025-06-03,65.63,65.16,65.95,64.51,357.85K,1.55%,64.283,0.0013552246245871,65
2025-06-17,74.9,72.5,75.53,71.46,514.73K,4.04%,69.083,0.0136011503022479,260
2025-07-01,67.11,66.58,67.5,66.34,270.05K,-0.74%,70.326,-0.0109556289993673,235
2025-07-15,68.71,69.15,69.41,68.6,314.88K,-0.72%,69.30499999999999,0.0023139778725862,-130
2025-07-29,72.51,70.28,73.08,69.86,136.65K,3.53%,69.065,0.0055325034578148,0
2025-08-12,66.12,66.8,67.06,65.98,228.13K,-0.77%,68.45,-0.0092489397733357,0
2025-08-26,67.22,68.73,68.73,67.11,177.90K,-2.30%,66.63000000000001,0.0016536380036078,-180
2025-09-09,66.39,66.23,67.38,66.12,309.16K,0.56%,67.458,-0.0012288831968729,0
2025-09-23,66.97,65.99,67.42,65.49,344.39K,1.52%,67.17699999999999,0.0008641368315975,0
2025-10-13,63.32,62.9,63.95,62.9,346.53K,0.94%,64.94500000000001,-0.0071090047393362,-75
2025-10-27,65.62,66.16,66.64,65.06,247.02K,0.64%,62.69,0.0036823567082933,-265
2025-11-10,64.06,63.8,64.34,63.32,273.06K,0.68%,64.33099999999999,-0.0024190922201374,125
2025-11-24,63.37,62.7,63.56,61.94,209.01K,2.31%,63.45700000000001,-0.0010861694424327,-70
2025-12-08,62.49,63.75,63.96,62.34,276.73K,-1.98%,62.99400000000001,-0.0013950096699534,-55
2025-12-22,61.58,60.25,61.66,60.11,323.72K,1.84%,60.758,-0.0014955052671368,-170
2026-01-06,60.7,61.7,62.33,60.4,389.05K,-1.72%,61.38099999999999,0.0003748492454123,0
2026-01-20,64.19,63.42,64.35,62.69,498.16K,1.53%,63.645,0.0055137765419615,85
2026-02-03,67.33,66.06,68.27,65.19,475.72K,1.55%,66.953,0.0047119554615167,205
2026-02-24,70.77,71.49,72.24,70.71,260.15K,-1.01%,69.411,0.0028462449793393,175
2026-03-09,98.96,99.75,119.5,83.66,1.22M,6.76%,80.24499999999999,0.0354460760277681,695
2026-03-23,95.92,107.5,109.78,91.7,802.80K,-9.86%,98.784,-0.0030679799773938,1160
2026-04-07,109.27,110.25,111.8,102.71,591.95K,-0.46%,108.33899999999998,0.0124761691151731,420
2026-04-21,93.24,89.4,95.51,89.12,306.00K,3.11%,94.839,-0.0166213890213806,-555
2026-05-08,101.29,102.52,102.92,99.55,304.31K,1.23%,108.663,-0.0037041451584804,320
